Product Name,Brand Name,Store Location,Product Price,Total Sold,Product Rating
OPPO A98 5G 8/256 GB GARANSI RESMI + FULL BONUS,OPPO,Jakarta Pusat,4299000,20,5.0
VIVO Y16 4/64 GB GARANSI RESMI,VIVO,Cirebon,1189000,24,5.0
VIVO Y27 5G 6/128GB NFC DIMENSITY 6020 50MP KAMERA GARANSI RESMI,VIVO,Jakarta Utara,2299000,22,5.0
VIVO Y17S RAM 6/128 GB GARANSI RESMI VIVO INDONESIA  - GLITTER PURPLE,VIVO,Tangerang,1679160,14,5.0
OPPO A18 8/128GB ( 4GB + 4GB EXTENDED RAM ) GARANSI RESMI OPPO,OPPO,Bekasi,1799000,1,5.0
OPPO A98 5G 8/256GB NFC 64MP AI CAMERA 67W SUPERVOOC GARANSI RESMI - A98 5G BLUE,OPPO,Jakarta Utara,4299000,27,5.0
OPPO A54 SMARTPHONE 4GB/64GB - 4GB/128GB - 6GB/128GB (GARANSI RESMI),OPPO,Sukabumi,3099000,100,5.0
VIVO Y17S 4GB/128GB 6GB/128GB - 4GB/64GB,VIVO,Medan,1345000,20,4.9
REALME 11 8/256 REALME11 4G NFC 8/256 GARANSI RESMI INDONESIA,REALME,Bekasi,3299000,1,5.0
"OPPO A18 (RAM 4, ROM 128, REFRESH RATE 90HZ)",OPPO,Malang,1499000,4,5.0
REALME C67 8/128 8/256 GB NFC RAM 8 ROM 128 256 8GB 128GB 256GB 512GB,REALME,Jakarta Pusat,2411000,9,5.0
VIVO Y27S NFC 8/256 GB 8/128 GB GARANSI RESMI Y17 S NOT Y22 Y27 Y36,VIVO,Jakarta Pusat,1993000,100,4.9
VIVO Y02T 4/64GB GARANSI RESMI,VIVO,Jakarta Pusat,1128000,250,5.0
"OPPO A18 (RAM 4, ROM 128, REFRESH RATE 90HZ)",OPPO,Malang,1499000,4,5.0
REALME C67 8/128 8/256 GB NFC RAM 8 ROM 128 256 8GB 128GB 256GB 512GB,REALME,Jakarta Pusat,2411000,9,5.0
OPPO A58 6/128 8/128 GB RAM 6GB 8GB ROM 128GB ORIGINAL RESMI,OPPO,Jakarta Utara,2097000,3,5.0
OPPO A18 8/128GB ( 4GB + 4GB EXTENDED RAM ) GARANSI RESMI,OPPO,Bekasi,1799000,4,5.0
REALME C67 8/128 8/256 GB RAM 8GB 128GB 256GB 512GB GARANSI RESMI,REALME,Jakarta Utara,2392000,70,5.0
VIVO V29E 5G NFC 44W FASTCHARGE SNAPDRAGON 695 PROSESOR GARANSI RESMI,VIVO,Jakarta Utara,3699000,28,5.0
OPPO A18 8/128GB ( 4GB + 4GB EXTENDED RAM ) GARANSI RESMI OPPO,OPPO,Bekasi,1799000,1,5.0
OPPO A98 5G 8/256GB NFC 64MP AI CAMERA 67W SUPERVOOC GARANSI RESMI - A98 5G BLUE,OPPO,Jakarta Utara,4299000,27,5.0
OPPO A54 SMARTPHONE 4GB/64GB - 4GB/128GB - 6GB/128GB (GARANSI RESMI),OPPO,Sukabumi,3099000,11,5.0
REALME C67 4G NFC 8/256 REALME C 67 4G 8/128 GARANSI RESMI INDONESIA,REALME,Bekasi,2599000,18,4.9
REALME C51 4/128GB NFC [+4GB EXTENDED RAM] GARANSI RESMI REALME,REALME,Kab. Tangerang,1288000,30,5.0
VIVO Y16 4/32 GARANSI RESMI,VIVO,Kab. Bekasi,1179000,7,5.0
OPPO A57 6-128GB/4-64GB/4-128GB,OPPO,Jakarta Barat,1933182,40,5.0
REDMI 10 4/64GB 2022 EX DISPLAY / EX DEMO  ONLY,REDMI,Jakarta Utara,1099000,1,5.0
"OPPO A18 4GB/128GB
GARANSI RESMI (SEGEL) - BIRU",OPPO,Jakarta Selatan,1499000,21,5.0
"OPPO A18 (RAM 4, ROM 128, REFRESH RATE 90HZ)",OPPO,Malang,1499000,4,5.0
REALME C67 8/128 8/256 GB NFC RAM 8 ROM 128 256 8GB 128GB 256GB 512GB,REALME,Jakarta Pusat,2411000,9,5.0
OPPO A58 6/128 8/128 GB RAM 6GB 8GB ROM 128GB ORIGINAL RESMI,OPPO,Jakarta Utara,2097000,3,5.0
OPPO A18 8/128GB ( 4GB + 4GB EXTENDED RAM ) GARANSI RESMI,OPPO,Bekasi,1799000,4,5.0
OPPO A18 8/128GB ( 4GB + 4GB EXTENDED RAM ) GARANSI RESMI OPPO,OPPO,Bekasi,1799000,1,5.0
OPPO A98 5G 8/256GB NFC 64MP AI CAMERA 67W SUPERVOOC GARANSI RESMI - A98 5G BLUE,OPPO,Jakarta Utara,4299000,27,5.0
OPPO A58 6/128 8/128 RAM 6GB 8GB ROM 128GB 6 8 128 GB,OPPO,Jakarta Utara,2165000,2,5.0
OPPO A17 8/64GB ( 4GB + 4GB EXTENSION RAM ) GARANSI RESMI,OPPO,Bekasi,2099000,9,5.0
VIVO Y27S NFC 8/256 GB 8/128 GB GARANSI RESMI Y17 S NOT Y22 Y27 Y36,VIVO,Jakarta Pusat,1993000,100,4.9
VIVO Y02T 4/64GB GARANSI RESMI,VIVO,Jakarta Pusat,1128000,250,5.0
OPPO A98 5G 8/256 GB GARANSI RESMI + FULL BONUS,OPPO,Jakarta Pusat,4299000,20,5.0
VIVO Y16 4/64 GB GARANSI RESMI,VIVO,Cirebon,1189000,24,5.0
"REALME C67 NFC RAM 6GB /256GB & RAM 8GB /128GB GARANSI RESMI  - HITAM, RAM 8GB /128GB",REALME,Tangerang,2450000,1,2.0
"REALME C67 NFC 4G RAM 8GB /256GB / RAM 8GB /128GB GARANSI RESMI - HITAM, RAM 8GB /128GB",REALME,Tangerang,2599000,1,5.0
VIVO Y17S 4/64GB [+4GB EXTENDED RAM] GARANSI RESMI INDONESIA 1 TAHUN,VIVO,Mojokerto,1242000,70,5.0
VIVO Y35 8/128GB FULLSET ORI MULUS,VIVO,Kab. Demak,1900000,50,4.8
OPPO A18 8/128GB ( 4GB + 4GB EXTENDED RAM ) GARANSI RESMI,OPPO,Bekasi,1799000,4,5.0
OPPO A58 6/128 8/128 GB RAM 6GB 8GB ROM 128GB ORIGINAL RESMI,OPPO,Jakarta Utara,2097000,3,5.0
VIVO Y17S 6/128 + Y17S 4/64 + Y16 4/128. GARANSI RESMI HARGA MURAH,VIVO,Pekanbaru,1395000,1,5.0
VIVO Y27 5G 6/128GB NFC DIMENSITY 6020 50MP KAMERA GARANSI RESMI,VIVO,Jakarta Utara,2299000,22,5.0
REDMI 12 C 4/64GB EX DISPLAY / EX DEMO  ONLY,REDMI,Jakarta Utara,1099000,1,5.0
OPPO A54 SMARTPHONE 4GB/64GB - 4GB/128GB - 6GB/128GB (GARANSI RESMI),OPPO,Sukabumi,3099000,1,5.0
OPPO A54 SMARTPHONE 4GB/64GB - 4GB/128GB - 6GB/128GB (GARANSI RESMI),OPPO,Sukabumi,3099000,5,5.0
OPPO RENO 8 8/256/ OPPO SECOND MURAH,OPPO,Kab. Sleman,2950000,29,4.9
VIVO Y27S 8/256GB NFC 8GB+8GB RAM 44W FLASHCHARGE 5OMP GARANSI RESMI,VIVO,Jakarta Utara,2064000,50,5.0
VIVO V25E 8/256GB NO MINUS MULUS GARANSI RESMI,VIVO,Tangerang Selatan,2450000,1,5.0
OPPO A78 4G 8/256 GB GARANSI RESMI,OPPO,Bandung,2497000,1,5.0
VIVO Y36 5G 8/256GB NFC 44W FLASHCHARGE DIMENSITY 6020 GARANSI RESMI,VIVO,Jakarta Utara,2918000,60,5.0
VIVO V29E 5G 12/256GB 8/256GB NFC 100% ORIGINAL  GARANSI RESMI TERBARU,VIVO,Jakarta Utara,3749000,5,5.0
VIVO Y17S 4/64GB [+4GB EXTENDED RAM] GARANSI RESMI INDONESIA 1 TAHUN,VIVO,Mojokerto,1242000,70,5.0
VIVO Y35 8/128GB FULLSET ORI MULUS,VIVO,Kab. Demak,1900000,50,4.8
VIVO Y17S 6/128 + Y17S 4/64 + Y16 4/128. GARANSI RESMI HARGA MURAH,VIVO,Pekanbaru,1395000,1,5.0
VIVO Y27 5G 6/128GB NFC DIMENSITY 6020 50MP KAMERA GARANSI RESMI,VIVO,Jakarta Utara,2299000,22,5.0
REDMI NOTE 10 5G 4/128GB EX DISPLAY / EX DEMO  ONLY,REDMI,Jakarta Utara,1699000,40,2.0
 VIVO Y91 RAM 2/16GB GARANSI RESMI - STARRY BLACK - STARRY BLACK,VIVO,Jakarta Timur,1450000,1,4.9
OPPO RENO8 5G 8GB/256GB RENO 8 4500MAH FLAGSHIP SENSOR GARANSI RESMI,OPPO,Jakarta Pusat,3327000,100,4.9
 VIVO Y72 RAM 12 ROM 256GB 5G SMARTPHONE GARANSI 1TAHUN,VIVO,Jakarta Barat,1300000,7,5.0
VIVO Y36 5G | NFC | RAM 8/256 GB GARANSI RESMI VIVO INDONESIA,VIVO,Tangerang,2889000,8,4.8
VIVO V29 V29E V27E BARU 100% ORIGINAL GARANSI RESMI SEGEL UTUH,VIVO,Jakarta Utara,3696000,23,5.0
VIVO Y36 5G 8/256GB NFC 44W FLASHCHARGE DIMENSITY 6020 GARANSI RESMI,VIVO,Jakarta Utara,2918000,60,5.0
VIVO V29E 5G 12/256GB 8/256GB NFC 100% ORIGINAL  GARANSI RESMI TERBARU,VIVO,Jakarta Utara,3749000,5,5.0
OPPO RENO8 5G 8GB/256GB RENO 8 4500MAH FLAGSHIP SENSOR GARANSI RESMI,OPPO,Jakarta Pusat,3327000,100,4.9
 VIVO Y72 RAM 12 ROM 256GB 5G SMARTPHONE GARANSI 1TAHUN,VIVO,Jakarta Barat,1300000,7,5.0
OPPO A58 6/128 8/128 RAM 6GB 8GB ROM 128GB 6 8 128 GB,OPPO,Jakarta Utara,2165000,2,5.0
OPPO A17 8/64GB ( 4GB + 4GB EXTENSION RAM ) GARANSI RESMI,OPPO,Bekasi,2099000,9,5.0
VIVO Y27S NFC 8/256 GB 8/128 GB GARANSI RESMI Y17 S NOT Y22 Y27 Y36,VIVO,Jakarta Pusat,1993000,100,4.9
REALME 11 PRO PLUS 5G 12/512 11 PROPLUS 5G 12/512 GARANSI RESMI,REALME,Bekasi,4999000,30,4.7
VIVO Y27S 8/128GB [+8GB EXTENDED RAM] NFC GARANSI RESMI VIVO 1 TAHUN,VIVO,Malang,2051500,7,4.8
VIVO V29E 5G 12/256GB 8/256GB NFC 100% ORIGINAL  GARANSI RESMI TERBARU,VIVO,Jakarta Utara,3749000,5,5.0
VIVO V25E 8/256GB NO MINUS MULUS GARANSI RESMI,VIVO,Tangerang Selatan,2450000,1,5.0
OPPO A78 4G 8/256 GB GARANSI RESMI,OPPO,Bandung,2497000,1,5.0
VIVO Y27 6/128GB 6.64INCI 44W FLASHCHARGE 50MP KAMERA GARANSI RESMI,VIVO,Jakarta Utara,1944000,40,5.0
 VIVO V9 RAM 6GB ROM 64GB GARANSI VIVO - BLACK & GOLD - HITAM,VIVO,Jakarta Timur,3849000,3,5.0
REDMI 10 4/64GB 2022 EX DISPLAY / EX DEMO  ONLY,REDMI,Jakarta Utara,1099000,30,5.0
 VIVO Y91 RAM 2/16GB GARANSI RESMI - STARRY BLACK - STARRY BLACK,VIVO,Jakarta Timur,1450000,40,2.0
"REALME C67 NFC RAM 6GB /256GB & RAM 8GB /128GB GARANSI RESMI  - HITAM, RAM 8GB /128GB",REALME,Tangerang,2450000,1,4.4
VIVO Y35 8/128 GB GARANSI RESMI - BLACK,VIVO,Jakarta Barat,2135000,5,5.0
VIVO Y36 5G 8/256GB NFC 44W FLASHCHARGE DIMENSITY 6020 GARANSI RESMI,VIVO,Jakarta Utara,2918000,60,5.0
VIVO Y73S RAM 8GB ROM 256GB 5G SMARTPHONE GARANSI 1 TAHUN,VIVO,Jakarta Barat,1250000,80,4.4
VIVO Y27S 8/128GB [+8GB EXTENDED RAM] NFC GARANSI RESMI VIVO 1 TAHUN,VIVO,Malang,2051500,7,4.8
VIVO V29E 5G 12/256GB 8/256GB NFC 100% ORIGINAL  GARANSI RESMI TERBARU,VIVO,Jakarta Utara,3749000,5,5.0
VIVO Y27 6/128GB 6.64INCI 44W FLASHCHARGE 50MP KAMERA GARANSI RESMI,VIVO,Jakarta Utara,1944000,40,5.0
REDMI NOTE 10 5G 4/128GB EX DISPLAY / EX DEMO  ONLY,REDMI,Jakarta Utara,1699000,40,2.0
 VIVO Y91 RAM 2/16GB GARANSI RESMI - STARRY BLACK - STARRY BLACK,VIVO,Jakarta Timur,1450000,1,5.0
REALME C51 4/64GB 4/128GB - GARANSI RESMI,REALME,Jakarta Barat,1440400,5,3.7
"VIVO Y27S 8/128 8/256 GB RAM 8GB ROM 256GB 128GB - BLACK, 8/128GB",VIVO,Jakarta Utara,2225000,9,5.0
REDMI NOTE 11 NFC 6/128GB EX DISPLAY / EX DEMO  ONLY,REDMI,Jakarta Utara,1599000,50,4.8
 VIVO Y71 RAM 3GB ROM 32GB GARANSI RESMI VIVO - BLACK & GOLD - EMAS,VIVO,Jakarta Timur,1899000,40,5.0
OPPO RENO8 5G 8GB/256GB RENO 8 4500MAH FLAGSHIP SENSOR GARANSI RESMI,OPPO,Jakarta Pusat,3327000,100,4.9
 VIVO Y72 RAM 12 ROM 256GB 5G SMARTPHONE GARANSI 1TAHUN,VIVO,Jakarta Barat,1300000,7,5.0
VIVO Y35 8/128 GB GARANSI RESMI - BLACK,VIVO,Jakarta Barat,2135000,5,5.0
VIVO V29 V29E V27E BARU 100% ORIGINAL GARANSI RESMI SEGEL UTUH,VIVO,Jakarta Utara,3696000,23,5.0
VIVO Y27S 8/128 8/256 NFC 44W FLASHCHARGE SNAPDRAGON 680 GARANSI RESMI,VIVO,Jakarta Utara,2064000,70,5.0
OPPO PAD AIR 4/64 RAM 4 ROM 64GB GARANSI RESMI OPPO INDONESIA,OPPO,Tangerang Selatan,3540000,7,5.0
VIVO Y27 5G 6/128 GARANSI RESMI ,VIVO,Depok,1985000,3,5.0
"REALME NARZO 50I PRIME - HIJAU, 4/64",REALME,Cirebon,1500000,1,5.0
REALME C51 4/64 4/128 NFC - GARANSI RESMI,REALME,Depok,1319000,28,5.0
OPPO A17 8/64GB ( 4GB + 4GB EXTENSION RAM ) GARANSI RESMI,OPPO,Bekasi,2099000,9,5.0
"VIVO V29E 5G 8/256 RAM 8 ROM 256 GB 8GB 256GB SMARTPHONE GARANSI RESMI - ROSE GOLD, 8/256GB",VIVO,Jakarta Utara,3785000,1,5.0
 VIVO V9 RAM 6GB ROM 64GB GARANSI VIVO - BLACK & GOLD - HITAM,VIVO,Jakarta Timur,3849000,3,5.0
REDMI 10 4/64GB 2022 EX DISPLAY / EX DEMO  ONLY,REDMI,Jakarta Utara,1099000,30,5.0
VIVO Y35 8/128 GB GARANSI RESMI - BLACK,VIVO,Jakarta Barat,2135000,5,5.0
OPPO RENO 8 8/256/ OPPO SECOND MURAH,OPPO,Kab. Sleman,2950000,1,5.0
OPPO A78 4G 8/256 GB GARANSI RESMI,OPPO,Bandung,2497000,1,5.0
VIVO Y17S 6/128 + Y17S 4/64 + Y16 4/128. GARANSI RESMI HARGA MURAH,VIVO,Pekanbaru,1395000,1,5.0
"REALME 10 4G 8/256GB GARANSI RESMI - WHITE, 8/128GB",REALME,Jakarta Barat,2652000,14,5.0
OPPO PAD AIR 4/64 RAM 4 ROM 64GB GARANSI RESMI OPPO INDONESIA,OPPO,Tangerang Selatan,3540000,7,5.0
VIVO Y27 5G 6/128 GARANSI RESMI ,VIVO,Depok,1985000,3,5.0
"OPPO A78 LTE (RAM 8GB, ROM 256GB, SNAPDRAGON 680)",OPPO,Malang,3599000,1,5.0
REALME 11 8/256 REALME11 4G NFC 8/256 GARANSI RESMI INDONESIA,REALME,Bekasi,3299000,20,4.9
"OPPO A18 (RAM 4, ROM 128, REFRESH RATE 90HZ)",OPPO,Malang,1499000,4,5.0
VIVO Y27S NFC 8/256 GB 8/128 GB GARANSI RESMI Y17 S NOT Y22 Y27 Y36,VIVO,Jakarta Pusat,1993000,100,4.9
VIVO Y36 5G 8/256GB NFC 44W FLASHCHARGE DIMENSITY 6020 GARANSI RESMI,VIVO,Jakarta Utara,2918000,60,5.0
VIVO Y73S RAM 8GB ROM 256GB 5G SMARTPHONE GARANSI 1 TAHUN,VIVO,Jakarta Barat,1250000,80,4.4
VIVO V25E 8/256GB NO MINUS MULUS GARANSI RESMI,VIVO,Tangerang Selatan,2450000,1,5.0
OPPO A78 4G 8/256 GB GARANSI RESMI,OPPO,Bandung,2497000,1,5.0
VIVO Y36 5G 8/256GB NFC 44W FLASHCHARGE DIMENSITY 6020 GARANSI RESMI,VIVO,Jakarta Utara,2918000,60,5.0
VIVO V29E 5G 12/256GB 8/256GB NFC 100% ORIGINAL  GARANSI RESMI TERBARU,VIVO,Jakarta Utara,3749000,5,5.0
VIVO Y27S 8/128GB [+8GB EXTENDED RAM] NFC GARANSI RESMI VIVO 1 TAHUN,VIVO,Malang,2051500,7,4.8
VIVO V29E 5G 12/256GB 8/256GB NFC 100% ORIGINAL  GARANSI RESMI TERBARU,VIVO,Jakarta Utara,3749000,5,5.0
"OPPO A78 LTE (RAM 8GB, ROM 256GB, SNAPDRAGON 680)",OPPO,Malang,3599000,1,5.0
REALME 11 8/256 REALME11 4G NFC 8/256 GARANSI RESMI INDONESIA,REALME,Bekasi,3299000,20,4.9
REALME C51 4/64GB 4/128GB - GARANSI RESMI,REALME,Jakarta Barat,1440400,5,3.7
"VIVO Y27S 8/128 8/256 GB RAM 8GB ROM 256GB 128GB - BLACK, 8/128GB",VIVO,Jakarta Utara,2225000,9,5.0
VIVO V25E 8/256GB NO MINUS MULUS GARANSI RESMI,VIVO,Tangerang Selatan,2450000,1,5.0
OPPO A78 4G 8/256 GB GARANSI RESMI,OPPO,Bandung,2497000,1,5.0
OPPO RENO8 5G 8GB/256GB RENO 8 4500MAH FLAGSHIP SENSOR GARANSI RESMI,OPPO,Jakarta Pusat,3327000,100,4.9
 VIVO Y72 RAM 12 ROM 256GB 5G SMARTPHONE GARANSI 1TAHUN,VIVO,Jakarta Barat,1300000,7,5.0
VIVO Y27 6/128 VIVO Y 27 6/128 GARANSI RESMI INDONESIA,VIVO,Bekasi,2199000,1,5.0
"VIVO Y27S 8/128 8/256 GB RAM 8GB ROM 256GB 128GB - BLACK, 8/128GB",VIVO,Jakarta Utara,2225000,5,3.7
REDMI NOTE 10 5G 4/128GB EX DISPLAY / EX DEMO  ONLY,REDMI,Jakarta Utara,1699000,1,4.9
OPPO A78 5G 8/128 + A78 4G 8/256 RESMI. RAM UP16GB (8GB+8GB) NFC TWS,OPPO,Pekanbaru,3399000,2,4.5
VIVO Y73S RAM 8GB ROM 256GB 5G SMARTPHONE GARANSI 1 TAHUN,VIVO,Jakarta Barat,1250000,80,4.4
REALME C53 6/128 GB RAM 6 ROM 128 6GB 128GB GARANSI RESMI,REALME,Jakarta Utara,1793000,70,5.0
VIVO Y17S 4GB/128GB 6GB/128GB - 4GB/64GB,VIVO,Medan,1345000,7,5.0
VIVO Y16 4/32 GARANSI RESMI,VIVO,Kab. Bekasi,1179000,1,5.0
VIVO Y27 6/128GB 6.64INCI 44W FLASHCHARGE 50MP KAMERA GARANSI RESMI,VIVO,Jakarta Utara,1944000,40,5.0
OPPO RENO8 5G 8GB/256GB RENO 8 4500MAH FLAGSHIP SENSOR GARANSI RESMI,OPPO,Jakarta Pusat,3327000,100,4.9
 VIVO Y72 RAM 12 ROM 256GB 5G SMARTPHONE GARANSI 1TAHUN,VIVO,Jakarta Barat,1300000,7,5.0
OPPO A58 8GB/128GB NFC GARANSI RESMI,OPPO,Jakarta Timur,2799000,13,4.8
OPPO A78 NFC 8/256 OPPO A 78 NFC 8/256 GARANSI RESMI INDONESIA,OPPO,Bekasi,3399000,14,4.8
OPPO A58 6/128 8/128 RAM 6GB 8GB ROM 128GB 6 8 128 GB,OPPO,Jakarta Utara,2165000,2,5.0
OPPO A17 8/64GB ( 4GB + 4GB EXTENSION RAM ) GARANSI RESMI,OPPO,Bekasi,2099000,9,5.0
VIVO Y27S 8/128GB [+8GB EXTENDED RAM] NFC GARANSI RESMI VIVO 1 TAHUN,VIVO,Malang,2051500,7,4.8
VIVO V29E 5G 12/256GB 8/256GB NFC 100% ORIGINAL  GARANSI RESMI TERBARU,VIVO,Jakarta Utara,3749000,5,5.0
VIVO Y27S 8/128 8/256 NFC 44W FLASHCHARGE SNAPDRAGON 680 GARANSI RESMI,VIVO,Jakarta Utara,2064000,70,5.0
VIVO V29 V29E V27E BARU 100% ORIGINAL GARANSI RESMI SEGEL UTUH,VIVO,Jakarta Utara,3696000,23,5.0
"OPPO A78 LTE (RAM 8GB, ROM 256GB, SNAPDRAGON 680)",OPPO,Malang,3599000,1,5.0
REALME 11 8/256 REALME11 4G NFC 8/256 GARANSI RESMI INDONESIA,REALME,Bekasi,3299000,20,4.9
REDMI 10 4/64GB 2022 EX DISPLAY / EX DEMO  ONLY,REDMI,Jakarta Utara,1099000,30,5.0
T.E.R.E.A  ANDROID - RUBY REGULAR,T.E.R.E.A,Jakarta Utara,1325000,1,5.0
"OPPO A18 (RAM 4, ROM 128, REFRESH RATE 90HZ)",OPPO,Malang,1499000,4,5.0
VIVO Y27S NFC 8/256 GB 8/128 GB GARANSI RESMI Y17 S NOT Y22 Y27 Y36,VIVO,Jakarta Pusat,1993000,100,4.9
OPPO A17 8/64GB ( 4GB + 4GB EXTENSION RAM ) GARANSI RESMI,OPPO,Bekasi,2099000,9,5.0
"VIVO V29E 5G 8/256 RAM 8 ROM 256 GB 8GB 256GB SMARTPHONE GARANSI RESMI - ROSE GOLD, 8/256GB",VIVO,Jakarta Utara,3785000,3,5.0
VIVO Y36 5G | NFC | RAM 8/256 GB GARANSI RESMI VIVO INDONESIA,VIVO,Tangerang,2889000,8,4.8
VIVO V29 V29E V27E BARU 100% ORIGINAL GARANSI RESMI SEGEL UTUH,VIVO,Jakarta Utara,3696000,23,5.0
